run_key,frame_num,filename,mu_x,mu_y,fwhm_x,fwhm_y,failure_mode
allmetal,122,allmetal0122 26-02-13 18-37-53.fits,683.1557487554932,423.3910443450776,10.245593090059224,1188.2962620941228,sigma_railed_to_bound
allmetal,132,allmetal0132 26-02-13 18-47-53.fits,682.9207184980341,438.7745817958783,10.043474159576713,1205.6678630558442,sigma_railed_to_bound
allmetal,133,allmetal0133 26-02-13 18-48-53.fits,683.4920954457785,405.9140609595899,9.879618825315903,1205.6678630557212,sigma_railed_to_bound
allmetal,143,allmetal0143 26-02-13 18-58-53.fits,681.8334074122984,393.3059398635804,10.405401072764423,1205.6678571958817,sigma_railed_to_bound
allmetal,149,allmetal0149 26-02-13 19-04-53.fits,680.9307274123033,352.4830478855836,9.46082815423116,1137.0982743898223,fwhm_over_max
allmetal,168,allmetal0168 26-02-13 19-23-54.fits,680.1346994914664,411.7139482884298,10.267157768423754,1205.6673612952927,sigma_railed_to_bound
allmetal,181,allmetal0181 26-02-13 19-36-55.fits,682.6972785427195,337.627617574894,10.304927421082084,1205.6678630556928,sigma_railed_to_bound
allmetal,198,allmetal0198 26-02-13 19-53-55.fits,682.867487057714,456.5956458081031,8.637844283990955,1205.6678593355962,sigma_railed_to_bound
allmetal,204,allmetal0204 26-02-13 19-59-54.fits,683.0933706248907,358.9460834272004,9.874686077852656,1205.6678630557676,sigma_railed_to_bound
allmetal,260,allmetal0260 26-02-13 20-55-56.fits,679.5491978269408,340.9209411720849,10.56249847584916,1205.6678630558097,sigma_railed_to_bound
allmetal,264,allmetal0264 26-02-13 20-59-57.fits,679.4128668343893,299.2925995061817,10.108219234181473,1205.6678629448909,sigma_railed_to_bound
allmetal,447,allmetal0447 26-02-14 00-03-00.fits,678.256474824663,417.6591901162301,10.612497577334604,1205.6678630556548,sigma_railed_to_bound
allmetal,450,allmetal0450 26-02-14 00-06-01.fits,678.0819152254475,375.346613048284,10.176689033322564,1205.6678630143058,sigma_railed_to_bound
allmetal,465,allmetal0465 26-02-14 00-21-00.fits,678.5190882957728,341.76603397172613,10.089725150855498,1205.6678630536735,sigma_railed_to_bound
allmetal,483,allmetal0483 26-02-14 00-39-01.fits,677.7014070458756,422.580602233298,9.940020400676806,1205.6678630476815,sigma_railed_to_bound
allmetal,503,allmetal0503 26-02-14 00-59-00.fits,677.5285302881681,385.3892350309214,9.165715195848746,1205.6678630096349,sigma_railed_to_bound
allmetal,514,allmetal0514 26-02-14 01-10-00.fits,678.5742706511697,352.5767864204968,9.266648281224493,1205.6678630558322,sigma_railed_to_bound
allmetal,539,allmetal0539 26-02-14 01-35-00.fits,677.9282522922516,356.7184491206028,10.027521369822963,1205.667862383045,sigma_railed_to_bound
allmetal,545,allmetal0545 26-02-14 01-41-00.fits,678.9660951813099,410.4813893714783,10.086793805816134,1205.6678630558458,sigma_railed_to_bound
allmetal,552,allmetal0552 26-02-14 01-48-01.fits,679.242745675855,336.47782098289787,9.057111823870304,1205.667863055832,sigma_railed_to_bound
allmetal,564,allmetal0564 26-02-14 02-00-01.fits,678.7971142445507,400.9180054258802,10.254129379682391,1205.6678630499025,sigma_railed_to_bound
