run_key,runname,truth_frames,reprocess_total,reprocess_good,reldiff:x position,reldiff:x position std,reldiff:y position,reldiff:y position std,reldiff:FWHM x,reldiff:FWHM x std,reldiff:FWHM y,reldiff:FWHM y std,worst_reldiff,worst_column,name_collision,truth_gate_drops,baseline_shift_px,verdict
20260105_postwinterbreak,postwinterbreak,11069.0,11069,11069,2.6433094010992526e-06,1.0161989525671213e-06,4.5337020698050364e-08,6.155383500258671e-09,2.73408057320056e-07,9.156498040150621e-06,5.37309122581895e-09,9.994103285038286e-07,9.156498040150621e-06,FWHM x std,False,0,0.0,MATCH
20260130_newsecondary,newsecondary,3999.0,3999,3999,4.899272550777134e-07,2.9067594162372314e-07,1.3711332912711482e-06,7.630462559475808e-08,5.857819473051044e-06,1.0366226281814992e-05,1.03039824713412e-06,1.898318981680433e-05,1.898318981680433e-05,FWHM y std,False,0,0.0,MATCH
20260206_replacedprimary,replacedprimary,5711.0,5711,5711,1.6087820269958765e-06,6.623847222622853e-08,4.612575328338351e-07,9.071035718374295e-08,3.6283116518390027e-06,2.1506457310333665e-06,1.9661960803912395e-06,9.243155078801584e-06,9.243155078801584e-06,FWHM y std,False,0,0.0,MATCH
20260213_allmetal,allmetal,3922.0,3922,3922,0.00014004620813683557,5.006077317450216e-05,7.709915535866953e-05,0.00010150626039378619,1.1170712211807816e-05,5.714460516870998e-05,6.500651377638835e-06,0.0001099387069068323,0.00014004620813683557,x position,False,0,0.0,MATCH
20260217_morewarming,morewarming,3083.0,3083,3083,8.94642276845806e-06,4.309511688410982e-06,2.4058903270281714e-05,2.154714033543643e-05,1.2188140471164984e-05,0.00014362517493670188,0.000183469181708669,0.00013973405934839035,0.000183469181708669,FWHM y,False,0,0.0,MATCH
20260219_hotandcold,hotandcold,15806.0,15806,15806,6.154987805955451e-05,6.79877586334659e-06,6.757173027837726e-05,6.88809495213645e-05,1.2495009825476228e-05,7.082914285613679e-05,5.1904104834393414e-05,0.0003847081135622227,0.0003847081135622227,FWHM y std,False,0,0.0,MATCH
20260302_genieshots,genieshots,2550.0,2550,2550,2.9443746602098877e-06,2.848657202477704e-05,3.4569813417357354e-08,5.6884305113499334e-08,1.582531720500608e-08,0.00013905294617113734,4.506232775121125e-07,1.3216814908687671e-06,0.00013905294617113734,FWHM x std,False,2550,0.0,MATCH
20260302_secondarylaser,secondarylaser,2572.0,2572,2572,1.686571246192359e-06,1.948476305774649e-07,1.2912895170377943e-07,2.595637921874009e-07,1.2282356001393375e-05,0.0002603901033748999,2.6475753383954305e-06,0.0002147217050855646,0.0002603901033748999,FWHM x std,False,0,0.0,MATCH
20260306_springbreak,springbreak,14174.0,14174,14174,1.2962926250884693e-05,1.226659852699227e-06,3.460486496629636e-06,3.4191457296146564e-06,1.1967984298310558e-05,0.00020447908964438518,0.00016267730909619343,4.498141151684623e-05,0.00020447908964438518,FWHM x std,False,0,0.0,MATCH
20260306_springgenie,springgenie,14150.0,14150,14150,0.7004205159170348,0.6550334073371465,0.9649280692654046,0.9479659188644721,0.08434164309651038,0.8920175078750271,0.12893238658977832,0.9398041252537312,0.9649280692654046,y position,False,12920,118.44102166597554,DIVERGENT_TRUTH_GATE
20260320_statictest,statictest,5660.0,5660,5660,8.586235277528924e-07,4.427796435951104e-08,2.2004900237429263e-07,7.013513113107678e-08,6.615232201531832e-06,3.8798581378055774e-05,7.678606739045968e-06,2.3999158004080023e-05,3.8798581378055774e-05,FWHM x std,False,0,0.0,MATCH
20260320_statictestgenie,statictestgenie,5676.0,5676,5676,2.517825854124753e-05,0.00047352752691204243,3.079764286785865e-05,3.3750128532251405e-05,7.223830899140777e-05,0.04581195408001772,0.00012568737360452937,0.14063700815765895,0.14063700815765895,FWHM y std,False,1,0.0,DIVERGENT_TRUTH_GATE
20260415_zoeystatic,zoeystatic,7285.0,7285,7285,1.4928609734833942e-06,3.141452884352034e-08,2.6189111778725127e-05,7.59684198108616e-09,2.3297474939887286e-06,4.121164545602047e-06,4.6108431027419075e-06,1.0436148344620106e-06,2.6189111778725127e-05,y position,False,0,0.0,MATCH
20260415_zoeystaticgenie,zoeystaticgenie,7269.0,7269,7269,5.287790869294694e-07,2.34613883642832e-06,7.165159480784857e-05,4.791354255189908e-06,1.870789512556243e-07,3.256731549127144e-06,9.084926068543351e-07,2.8024278501364133e-05,7.165159480784857e-05,y position,False,0,0.0,MATCH
20260420_zoeysecondary,zoeysecondary,10156.0,10156,10156,0.06452267655457904,0.15348485441143994,0.10977593304050796,0.06262326618883822,0.10277272724243489,0.2863027868306929,0.07219298089456253,0.006616264874289648,0.2863027868306929,FWHM x std,False,0,0.0,DIVERGENT_UNEXPLAINED
20260420_zoeysecondarygenie,zoeysecondarygenie,10131.0,10131,10131,1.2377045596674043e-05,2.588664095140969e-06,1.9660679850466337e-06,3.3209125299088997e-06,1.4905287081660537e-06,3.6118903930503644e-06,1.6224742949360566e-06,1.241025846734863e-05,1.241025846734863e-05,FWHM y std,False,0,0.0,MATCH
20260814_postspie,postspie,5757.0,5757,5757,1.4700047301729492e-06,1.0407474510407966e-07,1.5592612660069457e-08,1.350543229355975e-08,1.4292910164420917e-06,9.270273721700686e-07,6.107124714665241e-08,5.825883144571302e-07,1.4700047301729492e-06,x position,False,0,0.0,MATCH
20260814_postspiegenie,postspiegenie,5742.0,5742,5742,0.057843943499847686,0.000546650459580849,0.27959576498656824,8.216121942413746e-05,3.470384860286866e-05,0.0037143402486069436,3.1244360178726506e-05,0.0017519296370304598,0.27959576498656824,y position,False,1,-3.3607895528019753,DIVERGENT_TRUTH_GATE
