dot_x,dot_y,dot_fwhm_x,dot_fwhm_y,laser_x,laser_y
1.394056446884185789e+03,6.355708971399827760e+02,7.153837631102783234e+01,6.073514090520903665e+03,1.258076035408636017e+03,1.113813782853218072e+03
1.394116077657552296e+03,6.348249687847529685e+02,7.060505827974439796e+01,5.882931613349726831e+03,1.258501567235265384e+03,1.113073082162369701e+03
1.394236865148894367e+03,6.343278233880217840e+02,7.020928402628949527e+01,6.041084410452508564e+03,1.259823667985671818e+03,1.110230203234080363e+03
1.395879886111649967e+03,6.341248914188735171e+02,6.716419938573343984e+01,5.072082165433989758e+03,1.258374467228824869e+03,1.113243648694452077e+03
1.394878006155504409e+03,6.347942163644322591e+02,6.998858641566573624e+01,5.969565217382717492e+03,1.258759807165960183e+03,1.110737830575324551e+03
1.394806505048585905e+03,6.346643075109847132e+02,6.945485933996818062e+01,5.809093021109811161e+03,1.258063980705834638e+03,1.111687783814239765e+03
1.395154141235256702e+03,6.346696761300516982e+02,6.970081427247920658e+01,4.793381693464059026e+03,1.257805071331798899e+03,1.112130960359671235e+03
1.394702381636634527e+03,6.352823108061733137e+02,7.090639367972940477e+01,4.283787143751418625e+03,1.257377560663373515e+03,1.111695656531317809e+03
1.396977048411226406e+03,6.334516743923692275e+02,6.775310619901723896e+01,4.962393016589689068e+03,1.259954909110804920e+03,1.110036940666235978e+03
1.395626433566428432e+03,6.341007835521178322e+02,6.832311319625873125e+01,2.947547588586827260e+03,1.258294171593957117e+03,1.110484335354365840e+03
1.395726796411966689e+03,6.344730050106987846e+02,6.948833242282881884e+01,4.276882161924869251e+03,1.258149243625403187e+03,1.109292691447407378e+03
1.396083375240819123e+03,6.342488158131064893e+02,6.830049524392441640e+01,3.475643864466497917e+02,1.257648383569847738e+03,1.110780057174843250e+03
1.397674639604533468e+03,6.335236994388095582e+02,6.755393694194771115e+01,2.048702635596811433e+03,1.259644215992334239e+03,1.109699685847318733e+03
1.398436090788838783e+03,6.341415932480863376e+02,6.776621037085341470e+01,2.027637809754034492e+02,1.259443488988628360e+03,1.110329645882944533e+03
1.397518603660591225e+03,6.342162792513875047e+02,6.759762509922111917e+01,1.737013360811751852e+02,1.257720837319171096e+03,1.111023595331832439e+03
1.395837792059988033e+03,6.347951473151191522e+02,7.008000377329169339e+01,1.374382617798255239e+02,1.256345722550534674e+03,1.109747155712261019e+03
1.398989600537812521e+03,6.348393497602510251e+02,6.618531506655975249e+01,1.102964977942464628e+02,1.257918192822160108e+03,1.112046962546505938e+03
1.398922753959380543e+03,6.335565232344588367e+02,6.631701731905125996e+01,1.283802182999919808e+02,1.259429840755999066e+03,1.109473171782637792e+03
