batch_timestamp,runname,camera,n_files,n_ok,elapsed_s,fps,source
2026-08-17,lasersimultaneous,main_camera,994,994,171.59,5.8,E:\Reverse Telescope Test Data\20251117_data\lasersimultaneous\lasersimultaneous_fits
2026-08-17,lasermirror,main_camera,2726,2726,513.64,5.3,E:\Reverse Telescope Test Data\20251118_data\lasermirror\lasermirror_fits
2026-08-17,pumpsoff,main_camera,5600,5600,1023.9,5.5,E:\Reverse Telescope Test Data\20251120_data\pumpsoff\pumpsoff_fits
2026-08-17,prethanksgiving,main_camera,1083,1083,84.77,12.8,E:\Reverse Telescope Test Data\20251124_data\prethanksgiving\prethanksgiving_fits
2026-08-17,thanksgiving,main_camera,8557,8557,1494.07,5.7,E:\Reverse Telescope Test Data\20251125_data\thanksgiving\thanksgiving_fits
2026-08-17,snowday,main_camera,2449,2449,452.94,5.4,E:\Reverse Telescope Test Data\20251201_data\snowday\snowday_fits
2026-08-17,lowhumidity,main_camera,7156,7156,1318.99,5.4,E:\Reverse Telescope Test Data\20251205_data\lowhumidity\lowhumidity_fits
2026-08-17,frosty,main_camera,6865,6865,1221.53,5.6,E:\Reverse Telescope Test Data\20251210_data\frosty\frosty_fits
2026-08-17,warming,main_camera,5191,5191,918.36,5.7,E:\Reverse Telescope Test Data\20251217_data\warming\warming_fits
2026-08-17,realwinterbreak,main_camera,18530,18530,3061.74,6.1,E:\Reverse Telescope Test Data\20251223_data\realwinterbreak\realwinterbreak_fits
2026-08-17,postwinterbreak,main_camera,11069,11069,1661.85,6.7,E:\Reverse Telescope Test Data\20260105_data\postwinterbreak\postwinterbreak_fits
2026-08-17,newsecondary,main_camera,3999,1124,1743.57,2.3,E:\Reverse Telescope Test Data\20260130_data\newsecondary\newsecondary_fits
2026-08-17,replacedprimary,main_camera,5711,5711,2386.66,2.4,E:\Reverse Telescope Test Data\20260206_data\replacedprimary\replacedprimary_fits
2026-08-17,allmetal,main_camera,3922,3273,1595.82,2.5,E:\Reverse Telescope Test Data\20260213_data\allmetal\allmetal_fits
2026-08-17,morewarming,main_camera,3083,3083,1320.93,2.3,E:\Reverse Telescope Test Data\20260217_data\morewarming\morewarming_fits
2026-08-17,hotandcold,main_camera,15806,15789,7195.49,2.2,E:\Reverse Telescope Test Data\20260219_data\hotandcold\hotandcold_fits
2026-08-17,genieshots,dalsa_genie,2550,2550,794.42,3.2,E:\Reverse Telescope Test Data\20260302_data\genieshots\genieshots_fits
2026-08-17,secondarylaser,main_camera,2572,2568,1261.76,2.0,E:\Reverse Telescope Test Data\20260302_data\secondarylaser\secondarylaser_fits
2026-08-17,springbreak,main_camera,14174,14166,6962.74,2.0,E:\Reverse Telescope Test Data\20260306_data\springbreak\springbreak_fits
2026-08-17,springgenie,dalsa_genie,14150,14150,1024.32,13.8,E:\Reverse Telescope Test Data\20260306_data\springgenie\springgenie_fits
2026-08-17,statictest,main_camera,5660,5593,2669.51,2.1,E:\Reverse Telescope Test Data\20260320_data\statictest\statictest_fits
2026-08-17,statictestgenie,dalsa_genie,5676,5676,415.36,13.7,E:\Reverse Telescope Test Data\20260320_data\statictestgenie\statictestgenie_fits
2026-08-17,zoeystatic,main_camera,7285,7285,2643.87,2.8,E:\Reverse Telescope Test Data\20260415_data\zoeystatic\zoeystatic_fits
2026-08-17,zoeystaticgenie,dalsa_genie,7269,7269,546.21,13.3,E:\Reverse Telescope Test Data\20260415_data\zoeystaticgenie\zoeystaticgenie_fits
2026-08-17,zoeysecondary,main_camera,10156,9350,3366.95,3.0,E:\Reverse Telescope Test Data\20260420_data\zoeysecondary\zoeysecondary_fits
2026-08-17,zoeysecondarygenie,dalsa_genie,10131,10131,743.49,13.6,E:\Reverse Telescope Test Data\20260420_data\zoeysecondarygenie\zoeysecondarygenie_fits
2026-08-17,newprimary,main_camera,8244,8244,645.67,12.8,E:\Reverse Telescope Test Data\20260529_data\newprimary\newprimary_fits
2026-08-17,newprimaryagain,main_camera,7163,7163,643.18,11.1,E:\Reverse Telescope Test Data\20260604_data\newprimaryagain\newprimaryagain_fits
2026-08-17,bridgetstatic,main_camera,6743,293,1251.51,5.4,E:\Reverse Telescope Test Data\20260624_data\bridgetstatic\bridgetstatic_fits
2026-08-17,bridgetstaticgenie,dalsa_genie,5959,5959,524.67,11.4,E:\Reverse Telescope Test Data\20260624_data\bridgetstaticgenie\bridgetstaticgenie_fits
2026-08-17,maxtest1,main_camera,100,100,9.13,11.0,E:\Reverse Telescope Test Data\20250917\maxtest1
2026-08-17,maxtest2,main_camera,287,287,14.18,20.2,E:\Reverse Telescope Test Data\20250917\maxtest2
2026-08-17,minuteSecondly,main_camera,61,61,7.28,8.4,E:\Reverse Telescope Test Data\20250917\minuteSecondly
2026-08-17,morningsecondly,main_camera,9999,9999,194.92,51.3,E:\Reverse Telescope Test Data\20250917\morningsecondly
2026-08-17,fanoff,main_camera,9249,9249,2372.34,3.9,E:\Reverse Telescope Test Data\20250918\fanoff
2026-08-17,longrun,main_camera,16821,16821,2560.52,6.6,E:\Reverse Telescope Test Data\20250918\longrun
2026-08-17,nightvideo,main_camera,9006,9006,1968.33,4.6,E:\Reverse Telescope Test Data\20250918\nightvideo
2026-08-17,overnightvideo,main_camera,1373,1373,325.22,4.2,E:\Reverse Telescope Test Data\20250918\overnightvideo
2026-08-17,stability,main_camera,4479,4479,1026.61,4.4,E:\Reverse Telescope Test Data\20250918\stability
2026-08-17,fanoff5237,main_camera,9330,9330,2142.16,4.4,E:\Reverse Telescope Test Data\20250925\fanoff5237
2026-08-17,minutely,main_camera,1144,1144,256.62,4.5,E:\Reverse Telescope Test Data\20250925\minutely
2026-08-17,noon5237,main_camera,9393,9393,2334.71,4.0,E:\Reverse Telescope Test Data\20250925\noon5237
2026-08-17,dotrefound,main_camera,4058,4058,562.32,7.2,E:\Reverse Telescope Test Data\20250926\dotrefound
2026-08-17,fanoff5237,main_camera,9129,9129,3002.18,3.0,E:\Reverse Telescope Test Data\20250926\fanoff5237
2026-08-17,minutely,main_camera,198,198,62.17,3.2,E:\Reverse Telescope Test Data\20250926\minutely
2026-08-17,morning5237,main_camera,9176,9176,3172.42,2.9,E:\Reverse Telescope Test Data\20250926\morning5237
2026-08-17,minutelyovernight,main_camera,2490,2490,54.11,46.0,E:\Reverse Telescope Test Data\20251014\minutelyovernight
2026-08-17,minutely,main_camera,1130,1130,29.97,37.7,E:\Reverse Telescope Test Data\20251016\minutely
2026-08-17,minutely,main_camera,2178,2178,48.77,44.7,E:\Reverse Telescope Test Data\20251017\minutely
2026-08-17,morning5237,main_camera,6083,6083,110.49,55.1,E:\Reverse Telescope Test Data\20251017\morning5237
2026-08-17,minutely,main_camera,1560,1560,41.81,37.3,E:\Reverse Telescope Test Data\20251020\minutely
2026-08-17,morning5237,main_camera,4133,4133,1581.03,2.6,E:\Reverse Telescope Test Data\20251020\morning5237
2026-08-17,morning_c5237,main_camera,8052,8052,153.17,52.6,E:\Reverse Telescope Test Data\20251020\morning_c5237
2026-08-17,fan_restart5237,main_camera,6232,6232,113.88,54.7,E:\Reverse Telescope Test Data\20251022\fan_restart5237
2026-08-17,installed_accel,main_camera,8916,8916,167.05,53.4,E:\Reverse Telescope Test Data\20251022\installed_accel
2026-08-17,installed_accel_nofan,main_camera,5811,5811,251.92,23.1,E:\Reverse Telescope Test Data\20251022\installed_accel_nofan
2026-08-17,morning5237,main_camera,6423,6423,131.17,49.0,E:\Reverse Telescope Test Data\20251022\morning5237
2026-08-17,morning_nofan5237,main_camera,5170,5170,105.82,48.9,E:\Reverse Telescope Test Data\20251022\morning_nofan5237
2026-08-17,night_accel,main_camera,248,248,15.28,16.2,E:\Reverse Telescope Test Data\20251022\night_accel
2026-08-17,morning25,main_camera,11520,11520,966.48,11.9,E:\Reverse Telescope Test Data\20251023\morning25
2026-08-17,nightdrift,main_camera,9,9,4.2,2.1,E:\Reverse Telescope Test Data\20251023\nightdrift
2026-08-17,nightdriftB,main_camera,1259,1259,33.21,37.9,E:\Reverse Telescope Test Data\20251023\nightdriftB
2026-08-17,noon5237,main_camera,8364,8364,168.26,49.7,E:\Reverse Telescope Test Data\20251023\noon5237
2026-08-17,noondrift,main_camera,266,266,13.21,20.1,E:\Reverse Telescope Test Data\20251023\noondrift
2026-08-17,weekenddrift,main_camera,1042,1042,29.16,35.7,E:\Reverse Telescope Test Data\20251024\weekenddrift
2026-08-17,laserday,main_camera,72,72,43.74,1.6,E:\Reverse Telescope Test Data\20251111\laserday
2026-08-17,lasernight,main_camera,1039,1039,398.31,2.6,E:\Reverse Telescope Test Data\20251111\lasernight
2026-08-17,laserdaytest,main_camera,1115,1115,432.88,2.6,E:\Reverse Telescope Test Data\20251112\laserdaytest
2026-08-17,lasernighttest,main_camera,1130,1130,453.58,2.5,E:\Reverse Telescope Test Data\20251112\lasernighttest
2026-08-17,warming,main_camera,76,66,41.43,1.8,E:\Reverse Telescope Test Data\20260216\warming
2026-08-18,postspie,main_camera,5757,5757,423.15,13.6,E:\Reverse Telescope Test Data\20260814\postspie
2026-08-18,postspiegenie,dalsa_genie,5742,5742,82.35,69.7,E:\Reverse Telescope Test Data\20260814\postspiegenie
2026-08-19 15:28:39,postspie,main_camera,5757,5757,276.09,20.9,E:\Reverse Telescope Test Data\20260814_data\postspie\postspie_fits
2026-08-19 15:28:39,postspiegenie,dalsa_genie,5742,5742,548.02,10.5,E:\Reverse Telescope Test Data\20260814_data\postspiegenie\postspiegenie_fits
2026-08-21 14:55:57,weekend,main_camera,3966,3966,869.71,4.6,E:\Reverse Telescope Test Data\20250919_data\weekend\weekend_fits
2026-08-21 14:55:57,minutely,main_camera,288,288,77.54,3.7,E:\Reverse Telescope Test Data\20250922_data\minutely\minutely_fits
2026-08-21 14:55:57,morning5237,main_camera,9445,9445,2281.58,4.1,E:\Reverse Telescope Test Data\20250922_data\morning5237\morning5237_fits
2026-08-21 14:55:57,bigshakeA,main_camera,9373,9373,2414.26,3.9,E:\Reverse Telescope Test Data\20250923_data\bigshakeA\bigshakeA_fits
2026-08-21 14:55:57,bigshakeB,main_camera,3542,3542,926.51,3.8,E:\Reverse Telescope Test Data\20250923_data\bigshakeB\bigshakeB_fits
2026-08-21 14:55:57,fanoff,main_camera,9355,9355,2885.64,3.2,E:\Reverse Telescope Test Data\20250923_data\fanoff\fanoff_fits
2026-08-21 14:55:57,minutely,main_camera,195,195,64.86,3.0,E:\Reverse Telescope Test Data\20250923_data\minutely\minutely_fits
2026-08-21 14:55:57,minutely2,main_camera,1176,1176,369.8,3.2,E:\Reverse Telescope Test Data\20250923_data\minutely2\minutely2_fits
2026-08-21 14:55:57,stabilitytestA,main_camera,3054,3054,315.85,9.7,E:\Reverse Telescope Test Data\20250923_data\stabilitytestA\stabilitytestA_fits
2026-08-21 14:55:57,stabilitytestB,main_camera,3061,3061,877.11,3.5,E:\Reverse Telescope Test Data\20250923_data\stabilitytestB\stabilitytestB_fits
2026-08-21 14:55:57,PostNate,main_camera,1187,1187,283.1,4.2,E:\Reverse Telescope Test Data\20250924_data\PostNate\PostNate_fits
2026-08-21 14:55:57,fanoff5237,main_camera,8799,8799,3196.93,2.8,E:\Reverse Telescope Test Data\20250929_data\fanoff5237\fanoff5237_fits
2026-08-21 14:55:57,morning5237,main_camera,8458,8458,3057.33,2.8,E:\Reverse Telescope Test Data\20250929_data\morning5237\morning5237_fits
2026-08-21 14:55:57,night5237,main_camera,9425,9425,1055.64,8.9,E:\Reverse Telescope Test Data\20251027_data\night5237\night5237_fits
2026-08-21 14:55:57,overnight,main_camera,1099,1099,118.74,9.3,E:\Reverse Telescope Test Data\20251027_data\overnight\overnight_fits
2026-08-21 14:55:57,longweekend,main_camera,6970,3556,2136.47,3.3,E:\Reverse Telescope Test Data\20251029_data\longweekend\longweekend_fits
2026-08-21 14:55:57,newcomp,main_camera,9577,9577,981.79,9.8,E:\Reverse Telescope Test Data\20251029_data\newcomp\newcomp_fits
2026-08-21 14:55:57,overnight,main_camera,1090,353,926.1,1.2,E:\Reverse Telescope Test Data\20251105_data\overnight\overnight_fits
2026-08-21 14:55:57,laser,main_camera,5063,5063,544.1,9.3,E:\Reverse Telescope Test Data\20251106_data\laser\laser_fits
2026-08-21 14:55:57,laserdaytest,main_camera,205,205,28.75,7.1,E:\Reverse Telescope Test Data\20251107_data\laserdaytest\laserdaytest_fits
2026-08-21 14:55:57,laserweekend,main_camera,3995,3007,3353.04,1.2,E:\Reverse Telescope Test Data\20251107_data\laserweekend\laserweekend_fits
2026-08-21 14:55:57,fansoff,main_camera,3991,1800,3352.35,1.2,E:\Reverse Telescope Test Data\20251114_data\fansoff\fansoff_fits
2026-08-21 14:55:57,lasersimultaneous,main_camera,994,994,545.8,1.8,E:\Reverse Telescope Test Data\20251117_data\lasersimultaneous\lasersimultaneous_fits
2026-08-21 14:55:57,lasermirror,main_camera,2726,2726,1480.13,1.8,E:\Reverse Telescope Test Data\20251118_data\lasermirror\lasermirror_fits
2026-08-21 14:55:57,pumpsoff,main_camera,5600,5600,2869.59,2.0,E:\Reverse Telescope Test Data\20251120_data\pumpsoff\pumpsoff_fits
2026-08-21 14:55:57,prethanksgiving,main_camera,1083,1083,308.64,3.5,E:\Reverse Telescope Test Data\20251124_data\prethanksgiving\prethanksgiving_fits
2026-08-21 14:55:57,thanksgiving,main_camera,8557,8557,4346.36,2.0,E:\Reverse Telescope Test Data\20251125_data\thanksgiving\thanksgiving_fits
2026-08-21 14:55:57,snowday,main_camera,2449,2449,1321.52,1.9,E:\Reverse Telescope Test Data\20251201_data\snowday\snowday_fits
2026-08-21 14:55:57,lowhumidity,main_camera,7156,7156,3602.81,2.0,E:\Reverse Telescope Test Data\20251205_data\lowhumidity\lowhumidity_fits
2026-08-21 14:55:57,frosty,main_camera,6865,6865,3528.32,1.9,E:\Reverse Telescope Test Data\20251210_data\frosty\frosty_fits
2026-08-21 14:55:57,warming,main_camera,5191,5191,2608.22,2.0,E:\Reverse Telescope Test Data\20251217_data\warming\warming_fits
2026-08-21 14:55:57,realwinterbreak,main_camera,18530,18530,9392.33,2.0,E:\Reverse Telescope Test Data\20251223_data\realwinterbreak\realwinterbreak_fits
2026-08-21 14:55:57,postwinterbreak,main_camera,11069,11069,5622.77,2.0,E:\Reverse Telescope Test Data\20260105_data\postwinterbreak\postwinterbreak_fits
2026-08-21 14:55:57,newsecondary,main_camera,3999,1124,2459.85,1.6,E:\Reverse Telescope Test Data\20260130_data\newsecondary\newsecondary_fits
2026-08-21 14:55:57,replacedprimary,main_camera,5711,5711,2611.98,2.2,E:\Reverse Telescope Test Data\20260206_data\replacedprimary\replacedprimary_fits
2026-08-21 14:55:57,allmetal,main_camera,3922,3273,1861.88,2.1,E:\Reverse Telescope Test Data\20260213_data\allmetal\allmetal_fits
2026-08-21 14:55:57,morewarming,main_camera,3083,3083,1562.37,2.0,E:\Reverse Telescope Test Data\20260217_data\morewarming\morewarming_fits
2026-08-21 14:55:57,hotandcold,main_camera,15806,15789,8045.16,2.0,E:\Reverse Telescope Test Data\20260219_data\hotandcold\hotandcold_fits
2026-08-21 14:55:57,genieshots,dalsa_genie,2550,2550,822.73,3.1,E:\Reverse Telescope Test Data\20260302_data\genieshots\genieshots_fits
2026-08-21 14:55:57,secondarylaser,main_camera,2572,2568,1645.68,1.6,E:\Reverse Telescope Test Data\20260302_data\secondarylaser\secondarylaser_fits
2026-08-21 14:55:57,springbreak,main_camera,14174,14166,7621.53,1.9,E:\Reverse Telescope Test Data\20260306_data\springbreak\springbreak_fits
2026-08-21 14:55:57,springgenie,dalsa_genie,14150,14150,4146.51,3.4,E:\Reverse Telescope Test Data\20260306_data\springgenie\springgenie_fits
2026-08-21 14:55:57,statictest,main_camera,5660,5593,2933.33,1.9,E:\Reverse Telescope Test Data\20260320_data\statictest\statictest_fits
2026-08-21 14:55:57,statictestgenie,dalsa_genie,5676,5676,1672.52,3.4,E:\Reverse Telescope Test Data\20260320_data\statictestgenie\statictestgenie_fits
2026-08-21 14:55:57,zoeystatic,main_camera,7285,7285,3155.17,2.3,E:\Reverse Telescope Test Data\20260415_data\zoeystatic\zoeystatic_fits
2026-08-21 14:55:57,zoeystaticgenie,dalsa_genie,7269,7269,2134.05,3.4,E:\Reverse Telescope Test Data\20260415_data\zoeystaticgenie\zoeystaticgenie_fits
2026-08-21 14:55:57,zoeysecondary,main_camera,10156,9350,4149.96,2.4,E:\Reverse Telescope Test Data\20260420_data\zoeysecondary\zoeysecondary_fits
2026-08-21 14:55:57,zoeysecondarygenie,dalsa_genie,10131,10131,2976.06,3.4,E:\Reverse Telescope Test Data\20260420_data\zoeysecondarygenie\zoeysecondarygenie_fits
2026-08-21 14:55:57,newprimary,main_camera,8244,8244,2415.79,3.4,E:\Reverse Telescope Test Data\20260529_data\newprimary\newprimary_fits
2026-08-21 14:55:57,newprimaryagain,main_camera,7163,7163,2146.24,3.3,E:\Reverse Telescope Test Data\20260604_data\newprimaryagain\newprimaryagain_fits
2026-08-21 14:55:57,bridgetstatic,main_camera,6743,293,3727.85,1.8,E:\Reverse Telescope Test Data\20260624_data\bridgetstatic\bridgetstatic_fits
2026-08-21 14:55:57,bridgetstaticgenie,dalsa_genie,5959,5959,1733.26,3.4,E:\Reverse Telescope Test Data\20260624_data\bridgetstaticgenie\bridgetstaticgenie_fits
2026-08-21 14:55:57,postspie,main_camera,5757,5757,1155.77,5.0,E:\Reverse Telescope Test Data\20260814_data\postspie\postspie_fits
2026-08-21 14:55:57,postspiegenie,dalsa_genie,5742,5742,1768.59,3.2,E:\Reverse Telescope Test Data\20260814_data\postspiegenie\postspiegenie_fits
2026-08-21 14:55:57,maxtest1,main_camera,100,100,22.73,4.4,E:\Reverse Telescope Test Data\20250917\maxtest1
2026-08-21 14:55:57,maxtest2,main_camera,287,287,38.46,7.5,E:\Reverse Telescope Test Data\20250917\maxtest2
2026-08-21 14:55:57,minuteSecondly,main_camera,61,61,15.25,4.0,E:\Reverse Telescope Test Data\20250917\minuteSecondly
2026-08-21 14:55:57,morningsecondly,main_camera,9999,9999,1165.27,8.6,E:\Reverse Telescope Test Data\20250917\morningsecondly
2026-08-21 14:55:57,fanoff,main_camera,9249,9249,2440.5,3.8,E:\Reverse Telescope Test Data\20250918\fanoff
2026-08-21 14:55:57,longrun,main_camera,16821,16821,3439.21,4.9,E:\Reverse Telescope Test Data\20250918\longrun
2026-08-21 14:55:57,nightvideo,main_camera,9006,9006,2236.03,4.0,E:\Reverse Telescope Test Data\20250918\nightvideo
2026-08-21 14:55:57,overnightvideo,main_camera,1373,1373,365.42,3.8,E:\Reverse Telescope Test Data\20250918\overnightvideo
2026-08-21 14:55:57,stability,main_camera,4479,4479,1131.24,4.0,E:\Reverse Telescope Test Data\20250918\stability
2026-08-21 14:55:57,fanoff5237,main_camera,9330,9330,2394.29,3.9,E:\Reverse Telescope Test Data\20250925\fanoff5237
2026-08-21 14:55:57,minutely,main_camera,1144,1144,308.11,3.7,E:\Reverse Telescope Test Data\20250925\minutely
2026-08-21 14:55:57,noon5237,main_camera,9393,9393,2493.04,3.8,E:\Reverse Telescope Test Data\20250925\noon5237
2026-08-21 14:55:57,dotrefound,main_camera,4058,4058,820.72,4.9,E:\Reverse Telescope Test Data\20250926\dotrefound
2026-08-21 14:55:57,fanoff5237,main_camera,9129,9129,3134.97,2.9,E:\Reverse Telescope Test Data\20250926\fanoff5237
2026-08-21 14:55:57,minutely,main_camera,198,198,72.62,2.7,E:\Reverse Telescope Test Data\20250926\minutely
2026-08-21 14:55:57,morning5237,main_camera,9176,9176,3376.79,2.7,E:\Reverse Telescope Test Data\20250926\morning5237
2026-08-21 14:55:57,minutelyovernight,main_camera,2490,2490,331.62,7.5,E:\Reverse Telescope Test Data\20251014\minutelyovernight
2026-08-21 14:55:57,minutely,main_camera,1130,1130,146.03,7.7,E:\Reverse Telescope Test Data\20251016\minutely
2026-08-21 14:55:57,minutely,main_camera,2178,2178,250.29,8.7,E:\Reverse Telescope Test Data\20251017\minutely
2026-08-21 14:55:57,morning5237,main_camera,6083,6083,708.64,8.6,E:\Reverse Telescope Test Data\20251017\morning5237
2026-08-21 14:55:57,minutely,main_camera,1560,1560,183.27,8.5,E:\Reverse Telescope Test Data\20251020\minutely
2026-08-21 14:55:57,morning5237,main_camera,4133,4133,1773.9,2.3,E:\Reverse Telescope Test Data\20251020\morning5237
2026-08-21 14:55:57,morning_c5237,main_camera,8052,8052,961.48,8.4,E:\Reverse Telescope Test Data\20251020\morning_c5237
2026-08-21 14:55:57,fan_restart5237,main_camera,6232,6232,736.38,8.5,E:\Reverse Telescope Test Data\20251022\fan_restart5237
2026-08-21 14:55:57,installed_accel,main_camera,8916,8916,1143.54,7.8,E:\Reverse Telescope Test Data\20251022\installed_accel
2026-08-21 14:55:57,installed_accel_nofan,main_camera,5811,5811,833.03,7.0,E:\Reverse Telescope Test Data\20251022\installed_accel_nofan
2026-08-21 14:55:57,morning5237,main_camera,6423,6423,763.0,8.4,E:\Reverse Telescope Test Data\20251022\morning5237
2026-08-21 14:55:57,morning_nofan5237,main_camera,5170,5170,637.29,8.1,E:\Reverse Telescope Test Data\20251022\morning_nofan5237
2026-08-21 14:55:57,night_accel,main_camera,248,248,43.8,5.7,E:\Reverse Telescope Test Data\20251022\night_accel
2026-08-21 14:55:57,morning25,main_camera,11520,11520,2030.05,5.7,E:\Reverse Telescope Test Data\20251023\morning25
2026-08-21 14:55:57,nightdrift,main_camera,9,9,22.76,0.4,E:\Reverse Telescope Test Data\20251023\nightdrift
2026-08-21 14:55:57,nightdriftB,main_camera,1259,1259,146.25,8.6,E:\Reverse Telescope Test Data\20251023\nightdriftB
2026-08-21 14:55:57,noon5237,main_camera,8364,8364,954.05,8.8,E:\Reverse Telescope Test Data\20251023\noon5237
2026-08-21 14:55:57,noondrift,main_camera,266,266,38.93,6.8,E:\Reverse Telescope Test Data\20251023\noondrift
2026-08-21 14:55:57,weekenddrift,main_camera,1042,1042,119.2,8.7,E:\Reverse Telescope Test Data\20251024\weekenddrift
2026-08-21 14:55:57,laserday,main_camera,72,72,82.46,0.9,E:\Reverse Telescope Test Data\20251111\laserday
2026-08-21 14:55:57,lasernight,main_camera,1039,1039,729.78,1.4,E:\Reverse Telescope Test Data\20251111\lasernight
2026-08-21 14:55:57,laserdaytest,main_camera,1115,1115,811.26,1.4,E:\Reverse Telescope Test Data\20251112\laserdaytest
2026-08-21 14:55:57,lasernighttest,main_camera,1130,1130,873.83,1.3,E:\Reverse Telescope Test Data\20251112\lasernighttest
2026-08-21 14:55:57,warming,main_camera,76,66,79.72,1.0,E:\Reverse Telescope Test Data\20260216\warming
2026-08-23 15:39:32,weekend,main_camera,3966,3966,879.56,4.5,E:\Reverse Telescope Test Data\20250919_data\weekend\weekend_fits
2026-08-23 15:39:32,minutely,main_camera,288,288,95.5,3.0,E:\Reverse Telescope Test Data\20250922_data\minutely\minutely_fits
2026-08-23 15:39:32,morning5237,main_camera,9445,9445,2229.24,4.2,E:\Reverse Telescope Test Data\20250922_data\morning5237\morning5237_fits
2026-08-23 15:39:32,bigshakeA,main_camera,9373,9373,2468.05,3.8,E:\Reverse Telescope Test Data\20250923_data\bigshakeA\bigshakeA_fits
2026-08-23 15:39:32,bigshakeB,main_camera,3542,3542,972.03,3.6,E:\Reverse Telescope Test Data\20250923_data\bigshakeB\bigshakeB_fits
2026-08-23 15:39:32,fanoff,main_camera,9355,9355,3039.33,3.1,E:\Reverse Telescope Test Data\20250923_data\fanoff\fanoff_fits
2026-08-23 15:39:32,minutely,main_camera,195,195,82.58,2.4,E:\Reverse Telescope Test Data\20250923_data\minutely\minutely_fits
2026-08-23 15:39:32,minutely2,main_camera,1176,1176,382.66,3.1,E:\Reverse Telescope Test Data\20250923_data\minutely2\minutely2_fits
2026-08-23 15:39:32,stabilitytestA,main_camera,3054,3054,339.35,9.0,E:\Reverse Telescope Test Data\20250923_data\stabilitytestA\stabilitytestA_fits
2026-08-23 15:39:32,stabilitytestB,main_camera,3061,3061,909.27,3.4,E:\Reverse Telescope Test Data\20250923_data\stabilitytestB\stabilitytestB_fits
2026-08-23 15:39:32,PostNate,main_camera,1187,1187,290.69,4.1,E:\Reverse Telescope Test Data\20250924_data\PostNate\PostNate_fits
2026-08-23 15:39:32,fanoff5237,main_camera,8799,8799,3317.84,2.7,E:\Reverse Telescope Test Data\20250929_data\fanoff5237\fanoff5237_fits
